rank;rank_w;institution;link;institution_2;score;authors;author_shares;from_url
23;[22];Department of Economics, Chonnam National UniversityKwangju, South Korea;http://edirc.repec.org/data/dechokr.html;Department of Economics, Chonnam National University;24.12;3;3;http://ideas.repec.org/top/top.southkorea.html;
24;[24];College of Economics and Business Administration, Kyungpook National UniversityDaegu, South Korea;http://edirc.repec.org/data/cbkypkr.html;College of Economics and Business Administration, Kyungpook National University;25;5;5;http://ideas.repec.org/top/top.southkorea.html;
1;[2];Facultad de Economía, Universidad de los AndesBogotá, Colombia;http://edirc.repec.org/data/feandco.html;Facultad de Economía, Universidad de los Andes;1.27;66;47.12;http://ideas.repec.org/top/top.colombia.html;
2;[1];Banco de la Republica de ColombiaBogotá, Colombia;http://edirc.repec.org/data/brcgvco.html;Banco de la Republica de Colombia;1.63;112;100.46;http://ideas.repec.org/top/top.colombia.html;
---;[---];Centro de Estudios Sobre Desarrollo Económico (CEDE), Facultad de Economía, Universidad de los AndesBogotá, Colombia;http://edirc.repec.org/data/ceandco.html;Centro de Estudios Sobre Desarrollo Económico (CEDE), Facultad de Economía, Universidad de los Andes;2.55;47;27.98;http://ideas.repec.org/top/top.colombia.html;
3;[3];Facultad de Economía, Universidad del RosarioSanta Fe de Bogotá, Colombia;http://edirc.repec.org/data/ferosco.html;Facultad de Economía, Universidad del Rosario;3.79;46;36.83;http://ideas.repec.org/top/top.colombia.html;
4;[5];Fundación para la Educación Superior y el Desarrollo (Fedesarrollo)Colombia;http://edirc.repec.org/data/fedesco.html;Fundación para la Educación Superior y el Desarrollo (Fedesarrollo);6.4;23;19.8;http://ideas.repec.org/top/top.colombia.html;
5;[4];Escuela de Economía y Finanzas, Universidad EAFITMedellín, Colombia;http://edirc.repec.org/data/deafico.html;Escuela de Economía y Finanzas, Universidad EAFIT;7.02;52;37.16;http://ideas.repec.org/top/top.colombia.html;
6;[7];Ministerio del Trabajo Proteccion Social, Government of ColombiaBogotá, Colombia;http://edirc.repec.org/data/mtsgvco.html;Ministerio del Trabajo Proteccion Social, Government of Colombia;7.39;2;2;http://ideas.repec.org/top/top.colombia.html;
7;[6];Facultad de Ciencias Económicas y Administrativas, Pontificia Universidad JaverianaSanta Fé de Bogotá, Colombia;http://edirc.repec.org/data/fcjavco.html;Facultad de Ciencias Económicas y Administrativas, Pontificia Universidad Javeriana;8.39;32;29.78;http://ideas.repec.org/top/top.colombia.html;
---;[---];Centro de Estudios Economicos Regionales (CEER), Banco de la Republica de ColombiaCartagena, Colombia;http://edirc.repec.org/data/cbcgvco.html;Centro de Estudios Economicos Regionales (CEER), Banco de la Republica de Colombia;9;20;19.32;http://ideas.repec.org/top/top.colombia.html;
8;[8];Facultad de Administración, Universidad de los AndesBogotá, Colombia;http://edirc.repec.org/data/faandco.html;Facultad de Administración, Universidad de los Andes;9.05;10;9.48;http://ideas.repec.org/top/top.colombia.html;
---;[---];Centro de Investigaciones Económicas y Financieras (CIEF), Escuela de Economía y Finanzas, Universidad EAFITMedellín, Colombia;http://edirc.repec.org/data/cieafco.html;Centro de Investigaciones Económicas y Financieras (CIEF), Escuela de Economía y Finanzas, Universidad EAFIT;9.96;49;30.76;http://ideas.repec.org/top/top.colombia.html;
9;[11];Departamento Nacional de Planeación, Government of ColombiaBogotá, Colombia;http://edirc.repec.org/data/dnpgvco.html;Departamento Nacional de Planeación, Government of Colombia;10.81;12;11.3;http://ideas.repec.org/top/top.colombia.html;
---;[---];Departamento de Economía, Facultad de Ciencias Económicas y Administrativas, Pontificia Universidad JaverianaSanta Fé de Bogotá, Colombia;http://edirc.repec.org/data/dejavco.html;Departamento de Economía, Facultad de Ciencias Económicas y Administrativas, Pontificia Universidad Javeriana;11;21;13.83;http://ideas.repec.org/top/top.colombia.html;
10;[9];Facultad de Ciencias Económicas, Universidad Nacional de ColombiaBogotá, Colombia;http://edirc.repec.org/data/funalco.html;Facultad de Ciencias Económicas, Universidad Nacional de Colombia;11.73;37;23.16;http://ideas.repec.org/top/top.colombia.html;
11;[10];Facultad de Ciencias Económicas, Universidad de AntioquiaMedellín, Colombia;http://edirc.repec.org/data/fcantco.html;Facultad de Ciencias Económicas, Universidad de Antioquia;13.45;20;19.45;http://ideas.repec.org/top/top.colombia.html;
12;[13];Escuela de Gobierno, Universidad de los AndesBogotá, Colombia;http://edirc.repec.org/data/egandco.html;Escuela de Gobierno, Universidad de los Andes;13.74;7;6.44;http://ideas.repec.org/top/top.colombia.html;
---;[---];Departamento de Economía, Facultad de Ciencias Económicas, Universidad de AntioquiaMedellín, Colombia;http://edirc.repec.org/data/deantco.html;Departamento de Economía, Facultad de Ciencias Económicas, Universidad de Antioquia;15.18;14;13.45;http://ideas.repec.org/top/top.colombia.html;
13;[12];Facultad de Ciencias Administrativas y Económicas, Universidad IcesiCali, Colombia;http://edirc.repec.org/data/fciceco.html;Facultad de Ciencias Administrativas y Económicas, Universidad Icesi;16.04;16;13.7;http://ideas.repec.org/top/top.colombia.html;
14;[16];Facultad de Ciencias Económicas y Administrativas, Universidad Tecnológica de BolívarCartagena, Colombia;http://edirc.repec.org/data/feutbco.html;Facultad de Ciencias Económicas y Administrativas, Universidad Tecnológica de Bolívar;18.24;9;8.5;http://ideas.repec.org/top/top.colombia.html;
---;[---];Departamento de Economía, Facultad de Ciencias Administrativas y Económicas, Universidad IcesiCali, Colombia;http://edirc.repec.org/data/deiceco.html;Departamento de Economía, Facultad de Ciencias Administrativas y Económicas, Universidad Icesi;20.05;14;11.2;http://ideas.repec.org/top/top.colombia.html;
15;[17];Facultad de Ciencias Económicas y Administrativas, Pontificia Universidad JaverianaCalí, Colombia;http://edirc.repec.org/data/cejavco.html;Facultad de Ciencias Económicas y Administrativas, Pontificia Universidad Javeriana;21.34;29;27.38;http://ideas.repec.org/top/top.colombia.html;
16;[18];Facultad de Ciencias Económicas-Administrativas, Universidad de Bogotá Jorge Tadeo LozanoBogotá, Colombia;http://edirc.repec.org/data/ectadco.html;Facultad de Ciencias Económicas-Administrativas, Universidad de Bogotá Jorge Tadeo Lozano;21.57;3;3;http://ideas.repec.org/top/top.colombia.html;
17;[15];Facultad de Ciencias Sociales y Economicas, Universidad del ValleCalí, Colombia;http://edirc.repec.org/data/fcvalco.html;Facultad de Ciencias Sociales y Economicas, Universidad del Valle;21.82;14;11.34;http://ideas.repec.org/top/top.colombia.html;
18;[21];Departamento Administrativo Nacional de Estadística (DANE), Government of ColombiaBogotá, Colombia;http://edirc.repec.org/data/daneeco.html;Departamento Administrativo Nacional de Estadística (DANE), Government of Colombia;22.91;3;2.7;http://ideas.repec.org/top/top.colombia.html;
19;[14];Facultad de Economía, Universidad Externado de ColombiaBogotá, Colombia;http://edirc.repec.org/data/feextco.html;Facultad de Economía, Universidad Externado de Colombia;23.58;6;5.4;http://ideas.repec.org/top/top.colombia.html;
1;[1];Department of Economics, University of WashingtonSeattle, Washington (USA);http://edirc.repec.org/data/deuwaus.html;Department of Economics, University of Washington;0.9;19;17.8;http://ideas.repec.org/top/top.usa-wa.html;
2;[2];Michael G. Foster School of Business, University of WashingtonSeattle, Washington (USA);http://edirc.repec.org/data/bsuwaus.html;Michael G. Foster School of Business, University of Washington;2.2;11;11;http://ideas.repec.org/top/top.usa-wa.html;
3;[3];School of Economic Sciences, Washington State UniversityPullman, Washington (USA);http://edirc.repec.org/data/ecwsuus.html;School of Economic Sciences, Washington State University;2.77;29;28.5;http://ideas.repec.org/top/top.usa-wa.html;
---;[---];Department of Finance and Business Economics, Michael G. Foster School of Business, University of WashingtonSeattle, Washington (USA);http://edirc.repec.org/data/dfuwaus.html;Department of Finance and Business Economics, Michael G. Foster School of Business, University of Washington;3.57;4;4;http://ideas.repec.org/top/top.usa-wa.html;
4;[4];Evans School of Public Policy and Governance, University of WashingtonSeattle, Washington (USA);http://edirc.repec.org/data/spuwaus.html;Evans School of Public Policy and Governance, University of Washington;4.98;2;2;http://ideas.repec.org/top/top.usa-wa.html;
1;[1];Department of Economics, University of ColoradoBoulder, Colorado (USA);http://edirc.repec.org/data/decolus.html;Department of Economics, University of Colorado;0.9;32;29.22;http://ideas.repec.org/top/top.usa-co.html;
2;[2];Division of Economics and Business, Colorado School of MinesGolden, Colorado (USA);http://edirc.repec.org/data/decsmus.html;Division of Economics and Business, Colorado School of Mines;2.6;9;8.9;http://ideas.repec.org/top/top.usa-co.html;
3;[3];Economics Department, University of Colorado DenverDenver, Colorado (USA);http://edirc.repec.org/data/edcudus.html;Economics Department, University of Colorado Denver;2.72;10;9.39;http://ideas.repec.org/top/top.usa-co.html;
4;[4];Department of Agricultural & Resource Economics, Colorado State UniversityFort Collins, Colorado (USA);http://edirc.repec.org/data/dacsuus.html;Department of Agricultural & Resource Economics, Colorado State University;2.96;14;13.9;http://ideas.repec.org/top/top.usa-co.html;
5;[5];Business School, University of Colorado DenverDenver, Colorado (USA);http://edirc.repec.org/data/bsucdus.html;Business School, University of Colorado Denver;5.24;3;2.19;http://ideas.repec.org/top/top.usa-co.html;
23;[27];Centrul European de Studii Manageriale în Administrarea Afacerilor (CESMAA), Universitatea Spiru HaretCraiova, Romania;http://edirc.repec.org/data/ceuspro.html;Centrul European de Studii Manageriale în Administrarea Afacerilor (CESMAA), Universitatea Spiru Haret;36.22;7;6.5;http://ideas.repec.org/top/top.romania.html;
1;[1];Suomen PankkiHelsinki, Finland;http://edirc.repec.org/data/bofgvfi.html;Suomen Pankki;1.21;29;23.9;http://ideas.repec.org/top/top.finland.html;
2;[2];Kauppakorkeakoulu, Aalto-yliopistoHelsinki, Finland;http://edirc.repec.org/data/hkkkkfi.html;Kauppakorkeakoulu, Aalto-yliopisto;1.55;22;18.74;http://ideas.repec.org/top/top.finland.html;
---;[---];Taloustieteen Laitos, Kauppakorkeakoulu, Aalto-yliopistoHelsinki, Finland;http://edirc.repec.org/data/khkkkfi.html;Taloustieteen Laitos, Kauppakorkeakoulu, Aalto-yliopisto;3.29;13;10.44;http://ideas.repec.org/top/top.finland.html;
3;[3];Politiikan ja Talouden Tutkimuksen Laitos, Valtiotieteellinen tiedekunta, Helsingin YliopistoHelsinki, Finland;http://edirc.repec.org/data/valhefi.html;Politiikan ja Talouden Tutkimuksen Laitos, Valtiotieteellinen tiedekunta, Helsingin Yliopisto;3.71;23;15.8;http://ideas.repec.org/top/top.finland.html;
4;[4];Valtion taloudellinen tutkimuskeskus (VATT), Government of FinlandHelsinki, Finland;http://edirc.repec.org/data/vatttfi.html;Valtion taloudellinen tutkimuskeskus (VATT), Government of Finland;6.06;21;18.77;http://ideas.repec.org/top/top.finland.html;
5;[5];Turun Kauppakorkeakoulu, Turun YliopistoTurku, Finland;http://edirc.repec.org/data/tukkkfi.html;Turun Kauppakorkeakoulu, Turun Yliopisto;6.38;19;15.97;http://ideas.repec.org/top/top.finland.html;
6;[6];Elinkeinoelämän Tutkimuslaitos (ETLA)Helsinki, Finland;http://edirc.repec.org/data/etlaafi.html;Elinkeinoelämän Tutkimuslaitos (ETLA);7.35;15;12.58;http://ideas.repec.org/top/top.finland.html;
7;[7];Kauppakorkeakoulu, Jyväskylän yliopistoJyväskylä, Finland;http://edirc.repec.org/data/sbjyufi.html;Kauppakorkeakoulu, Jyväskylän yliopisto;7.51;11;9.19;http://ideas.repec.org/top/top.finland.html;
8;[8];Helsinki Center for Economic Research (HECER)Helsinki, Finland;http://edirc.repec.org/data/hecerfi.html;Helsinki Center for Economic Research (HECER);7.62;20;8.61;http://ideas.repec.org/top/top.finland.html;
9;[9];World Institute for Development Economic Research (UNU/WIDER), United Nations UniversityHelsinki, Finland;http://edirc.repec.org/data/widerfi.html;World Institute for Development Economic Research (UNU/WIDER), United Nations University;8.77;11;10.57;http://ideas.repec.org/top/top.finland.html;
